Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
ДГАУ,2021,05.03.06,Экология и природопользование,120
ДГАУ,2022,05.03.06,Экология и природопользование,140
ДГАУ,2023,05.03.06,Экология и природопользование,122
ДГАУ,2024,05.03.06,Экология и природопользование,122
ДГАУ,2021,20.03.01,Охрана труда,117
ДГАУ,2022,20.03.01,Охрана труда,98
ДГАУ,2023,20.03.01,Охрана труда,111
ДГАУ,2024,20.03.01,Охрана труда,111
ДГАУ,2021,36.03.01,Ветеринарно-санитарная экспертиза,104
ДГАУ,2022,36.03.01,Ветеринарно-санитарная экспертиза,98
ДГАУ,2023,36.03.01,Ветеринарно-санитарная экспертиза,115
ДГАУ,2024,36.03.01,Ветеринарно-санитарная экспертиза,105
ДГАУ,2021,36.03.02,Зоотехния,124
ДГАУ,2022,36.03.02,Зоотехния,110
ДГАУ,2023,36.03.02,Зоотехния,127
ДГАУ,2024,36.03.02,Зоотехния,116
ДГАУ,2021,19.03.01,Пищевая биотехнология,126
ДГАУ,2022,19.03.01,Пищевая биотехнология,124
ДГАУ,2023,19.03.01,Пищевая биотехнология,109
ДГАУ,2024,19.03.01,Пищевая биотехнология,118
ДГАУ,2021,19.03.04,Технология продукции и организация общественного питания,111
ДГАУ,2022,19.03.04,Технология продукции и организация общественного питания,129
ДГАУ,2023,19.03.04,Технология продукции и организация общественного питания,138
ДГАУ,2024,19.03.04,Технология продукции и организация общественного питания,121
ДГАУ,2021,35.03.03,Агрохимия и агропочвоведение,122
ДГАУ,2022,35.03.03,Агрохимия и агропочвоведение,122
ДГАУ,2023,35.03.03,Агрохимия и агропочвоведение,114
ДГАУ,2024,35.03.03,Агрохимия и агропочвоведение,113
ДГАУ,2021,35.03.04,Агрономия,126
ДГАУ,2022,35.03.04,Агрономия,117
ДГАУ,2023,35.03.04,Агрономия,103
ДГАУ,2024,35.03.04,Агрономия,110
ДГАУ,2021,36.05.01,Ветеринарная медицина,119
ДГАУ,2022,36.05.01,Ветеринарная медицина,97
ДГАУ,2023,36.05.01,Ветеринарная медицина,121
ДГАУ,2024,36.05.01,Ветеринарная медицина,114
ДГАУ,2021,19.03.03,Технология мяса и мясных продуктов,129
ДГАУ,2022,19.03.03,Технология мяса и мясных продуктов,135
ДГАУ,2023,19.03.03,Технология мяса и мясных продуктов,103
ДГАУ,2024,19.03.03,Технология мяса и мясных продуктов,121
ДГАУ,2021,35.03.04,Агробизнес,128
ДГАУ,2022,35.03.04,Агробизнес,134
ДГАУ,2023,35.03.04,Агробизнес,136
ДГАУ,2024,35.03.04,Агробизнес,141
ДГАУ,2021,35.03.04,Защита растений,108
ДГАУ,2022,35.03.04,Защита растений,99
ДГАУ,2023,35.03.04,Защита растений,106
ДГАУ,2024,35.03.04,Защита растений,111
ДГАУ,2021,35.03.05,Декоративное садоводство и ландшафтный дизайн,125
ДГАУ,2022,35.03.05,Декоративное садоводство и ландшафтный дизайн,118
ДГАУ,2023,35.03.05,Декоративное садоводство и ландшафтный дизайн,112
ДГАУ,2024,35.03.05,Декоративное садоводство и ландшафтный дизайн,114
ДГАУ,2021,35.03.07,"Технология производства, хранения и переработки продукции растениеводства",120
ДГАУ,2022,35.03.07,"Технология производства, хранения и переработки продукции растениеводства",119
ДГАУ,2023,35.03.07,"Технология производства, хранения и переработки продукции растениеводства",115
ДГАУ,2024,35.03.07,"Технология производства, хранения и переработки продукции растениеводства",116
ДГАУ,2021,35.03.05,"Плодоводство, овощеводство и виноградарство с основами виноделия",105
ДГАУ,2022,35.03.05,"Плодоводство, овощеводство и виноградарство с основами виноделия",97
ДГАУ,2023,35.03.05,"Плодоводство, овощеводство и виноградарство с основами виноделия",106
ДГАУ,2024,35.03.05,"Плодоводство, овощеводство и виноградарство с основами виноделия",114
ДГТУ,2021,19.03.01,Процессы и оборудование биотехнологии,140
ДГТУ,2022,19.03.01,Процессы и оборудование биотехнологии,160
ДГТУ,2023,19.03.01,Процессы и оборудование биотехнологии,135
ДГТУ,2024,19.03.01,Процессы и оборудование биотехнологии,140
ДГТУ,2021,21.03.03,Геодезия,187
ДГТУ,2022,21.03.03,Геодезия,173
ДГТУ,2023,21.03.03,Геодезия,159
ДГТУ,2024,21.03.03,Геодезия,167
ДГТУ,2021,27.03.01,Метрология и метрологическое обеспечение,148
ДГТУ,2022,27.03.01,Метрология и метрологическое обеспечение,174
ДГТУ,2023,27.03.01,Метрология и метрологическое обеспечение,166
ДГТУ,2024,27.03.01,Метрология и метрологическое обеспечение,166
ДГТУ,2021,09.03.02,Информационные системы и технологии,214
ДГТУ,2022,09.03.02,Информационные системы и технологии,179
ДГТУ,2023,09.03.02,Информационные системы и технологии,192
ДГТУ,2024,09.03.02,Информационные системы и технологии,206
ДГТУ,2021,09.03.03,Прикладная информатика в экономике,213
ДГТУ,2022,09.03.03,Прикладная информатика в экономике,215
ДГТУ,2023,09.03.03,Прикладная информатика в экономике,193
ДГТУ,2024,09.03.03,Прикладная информатика в экономике,205
ДГТУ,2021,27.03.01,Стандартизация и сертификация,162
ДГТУ,2022,27.03.01,Стандартизация и сертификация,157
ДГТУ,2023,27.03.01,Стандартизация и сертификация,150
ДГТУ,2024,27.03.01,Стандартизация и сертификация,166
