Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
ДГТУ,2021,19.03.01,Процессы и оборудование биотехнологии,140
ДГТУ,2022,19.03.01,Процессы и оборудование биотехнологии,160
ДГТУ,2023,19.03.01,Процессы и оборудование биотехнологии,135
ДГТУ,2024,19.03.01,Процессы и оборудование биотехнологии,140
ДГТУ,2021,21.03.03,Геодезия,187
ДГТУ,2022,21.03.03,Геодезия,173
ДГТУ,2023,21.03.03,Геодезия,159
ДГТУ,2024,21.03.03,Геодезия,167
ДГТУ,2021,27.03.01,Метрология и метрологическое обеспечение,148
ДГТУ,2022,27.03.01,Метрология и метрологическое обеспечение,174
ДГТУ,2023,27.03.01,Метрология и метрологическое обеспечение,166
ДГТУ,2024,27.03.01,Метрология и метрологическое обеспечение,166
ДГТУ,2021,09.03.02,Информационные системы и технологии,214
ДГТУ,2022,09.03.02,Информационные системы и технологии,179
ДГТУ,2023,09.03.02,Информационные системы и технологии,192
ДГТУ,2024,09.03.02,Информационные системы и технологии,206
ДГТУ,2021,09.03.03,Прикладная информатика в экономике,213
ДГТУ,2022,09.03.03,Прикладная информатика в экономике,215
ДГТУ,2023,09.03.03,Прикладная информатика в экономике,193
ДГТУ,2024,09.03.03,Прикладная информатика в экономике,205
ДГТУ,2021,27.03.01,Стандартизация и сертификация,162
ДГТУ,2022,27.03.01,Стандартизация и сертификация,157
ДГТУ,2023,27.03.01,Стандартизация и сертификация,150
ДГТУ,2024,27.03.01,Стандартизация и сертификация,166
ДГТУ,2021,29.03.04,Технология художественной обработки металлов,143
ДГТУ,2022,29.03.04,Технология художественной обработки металлов,126
ДГТУ,2023,29.03.04,Технология художественной обработки металлов,151
ДГТУ,2024,29.03.04,Технология художественной обработки металлов,135
ДГТУ,2021,09.03.01,Информатика и вычислительная техника,204
ДГТУ,2022,09.03.01,Информатика и вычислительная техника,217
ДГТУ,2023,09.03.01,Информатика и вычислительная техника,193
ДГТУ,2024,09.03.01,Информатика и вычислительная техника,206
ДГТУ,2021,20.05.01,Пожарная безопасность,143
ДГТУ,2022,20.05.01,Пожарная безопасность,157
ДГТУ,2023,20.05.01,Пожарная безопасность,165
ДГТУ,2024,20.05.01,Пожарная безопасность,155
ДГТУ,2021,15.03.03,Программные системы компьютерного инжиниринга,177
ДГТУ,2022,15.03.03,Программные системы компьютерного инжиниринга,173
ДГТУ,2023,15.03.03,Программные системы компьютерного инжиниринга,171
ДГТУ,2024,15.03.03,Программные системы компьютерного инжиниринга,166
ДГТУ,2021,15.03.05,Технология машиностроения,170
ДГТУ,2022,15.03.05,Технология машиностроения,156
ДГТУ,2023,15.03.05,Технология машиностроения,187
ДГТУ,2024,15.03.05,Технология машиностроения,167
ДГТУ,2021,20.03.01,Безопасность технологических процессов и производств,127
ДГТУ,2022,20.03.01,Безопасность технологических процессов и производств,132
ДГТУ,2023,20.03.01,Безопасность технологических процессов и производств,137
ДГТУ,2024,20.03.01,Безопасность технологических процессов и производств,145
ДГТУ,2021,27.03.01,"Менеджмент качества, стандартизация и сертификация",167
ДГТУ,2022,27.03.01,"Менеджмент качества, стандартизация и сертификация",174
ДГТУ,2023,27.03.01,"Менеджмент качества, стандартизация и сертификация",190
ДГТУ,2024,27.03.01,"Менеджмент качества, стандартизация и сертификация",166
ДГТУ,2021,38.03.01,Экономика организации,250
ДГТУ,2022,38.03.01,Экономика организации,292
ДГТУ,2023,38.03.01,Экономика организации,310
ДГТУ,2024,38.03.01,Экономика организации,270
ДГТУ,2021,19.03.03,Технологические процессы и оборудование производства продуктов животного происхождения,132
ДГТУ,2022,19.03.03,Технологические процессы и оборудование производства продуктов животного происхождения,164
ДГТУ,2023,19.03.03,Технологические процессы и оборудование производства продуктов животного происхождения,141
ДГТУ,2024,19.03.03,Технологические процессы и оборудование производства продуктов животного происхождения,150
ДГТУ,2021,54.03.01,Графический дизайн,349
ДГТУ,2022,54.03.01,Графический дизайн,339
ДГТУ,2023,54.03.01,Графический дизайн,299
ДГТУ,2024,54.03.01,Графический дизайн,337
ДГТУ,2021,54.03.01,Дизайн среды,290
ДГТУ,2022,54.03.01,Дизайн среды,321
ДГТУ,2023,54.03.01,Дизайн среды,291
ДГТУ,2024,54.03.01,Дизайн среды,327
ДГТУ,2021,37.03.01,Психология,256
ДГТУ,2022,37.03.01,Психология,201
ДГТУ,2023,37.03.01,Психология,263
ДГТУ,2024,37.03.01,Психология,234
ДГТУ,2021,23.05.01,Автомобили и тракторы,128
ДГТУ,2022,23.05.01,Автомобили и тракторы,122
ДГТУ,2023,23.05.01,Автомобили и тракторы,133
ДГТУ,2024,23.05.01,Автомобили и тракторы,132
ДГТУ,2021,23.03.03,Эксплуатация автотранспортных средств,186
ДГТУ,2022,23.03.03,Эксплуатация автотранспортных средств,171
ДГТУ,2023,23.03.03,Эксплуатация автотранспортных средств,164
ДГТУ,2024,23.03.03,Эксплуатация автотранспортных средств,168
ДГТУ,2021,15.03.01,Оборудование и технология сварочного производства,187
ДГТУ,2022,15.03.01,Оборудование и технология сварочного производства,145
ДГТУ,2023,15.03.01,Оборудование и технология сварочного производства,168
ДГТУ,2024,15.03.01,Оборудование и технология сварочного производства,170
ДГТУ,2021,43.03.03,Гостиничная деятельность,212
ДГТУ,2022,43.03.03,Гостиничная деятельность,275
ДГТУ,2023,43.03.03,Гостиничная деятельность,230
ДГТУ,2024,43.03.03,Гостиничная деятельность,242
ДГТУ,2021,10.03.01,Безопасность автоматизированных систем,191
ДГТУ,2022,10.03.01,Безопасность автоматизированных систем,202
ДГТУ,2023,10.03.01,Безопасность автоматизированных систем,209
ДГТУ,2024,10.03.01,Безопасность автоматизированных систем,210
ДГТУ,2021,44.03.01,Начальное образование,239
ДГТУ,2022,44.03.01,Начальное образование,247
ДГТУ,2023,44.03.01,Начальное образование,218
ДГТУ,2024,44.03.01,Начальное образование,216
ДГТУ,2021,44.03.03,Логопедия,207
ДГТУ,2022,44.03.03,Логопедия,194
ДГТУ,2023,44.03.03,Логопедия,186
ДГТУ,2024,44.03.03,Логопедия,217
ДГТУ,2021,44.03.01,Физическая культура,219
ДГТУ,2022,44.03.01,Физическая культура,244
ДГТУ,2023,44.03.01,Физическая культура,272
ДГТУ,2024,44.03.01,Физическая культура,242
ДГТУ,2021,43.03.02,Технология и организация туроператорских и турагентских услуг,216
ДГТУ,2022,43.03.02,Технология и организация туроператорских и турагентских услуг,215
ДГТУ,2023,43.03.02,Технология и организация туроператорских и турагентских услуг,250
ДГТУ,2024,43.03.02,Технология и организация туроператорских и турагентских услуг,241
