Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
РГК,2021,53.03.06,Музыкальная педагогика,339
РГК,2022,53.03.06,Музыкальная педагогика,392
РГК,2023,53.03.06,Музыкальная педагогика,402
РГК,2024,53.03.06,Музыкальная педагогика,375
РГК,2021,55.05.04,Продюсер исполнительских искусств,274
РГК,2022,55.05.04,Продюсер исполнительских искусств,250
РГК,2023,55.05.04,Продюсер исполнительских искусств,264
РГК,2024,55.05.04,Продюсер исполнительских искусств,260
РГК,2021,53.05.03,Музыкальная звукорежиссура,347
РГК,2022,53.05.03,Музыкальная звукорежиссура,343
РГК,2023,53.05.03,Музыкальная звукорежиссура,318
РГК,2024,53.05.03,Музыкальная звукорежиссура,310
РГК,2021,53.03.01,Эстрадно‐джазовое пение,448
РГК,2022,53.03.01,Эстрадно‐джазовое пение,380
РГК,2023,53.03.01,Эстрадно‐джазовое пение,458
РГК,2024,53.03.01,Эстрадно‐джазовое пение,435
РГК,2021,53.03.01,Инструменты эстрадного оркестра,409
РГК,2022,53.03.01,Инструменты эстрадного оркестра,344
РГК,2023,53.03.01,Инструменты эстрадного оркестра,417
РГК,2024,53.03.01,Инструменты эстрадного оркестра,375
РГК,2021,53.03.02,Фортепиано,445
РГК,2022,53.03.02,Фортепиано,372
РГК,2023,53.03.02,Фортепиано,428
РГК,2024,53.03.02,Фортепиано,396
РГК,2021,53.03.02,"Баян, аккордеон и струнные щипковые инструменты",359
РГК,2022,53.03.02,"Баян, аккордеон и струнные щипковые инструменты",335
РГК,2023,53.03.02,"Баян, аккордеон и струнные щипковые инструменты",312
РГК,2024,53.03.02,"Баян, аккордеон и струнные щипковые инструменты",337
РГК,2021,53.03.04,Хоровое народное пение,428
РГК,2022,53.03.04,Хоровое народное пение,421
РГК,2023,53.03.04,Хоровое народное пение,361
РГК,2024,53.03.04,Хоровое народное пение,403
РГК,2021,53.03.04,Сольное народное пение,371
РГК,2022,53.03.04,Сольное народное пение,423
РГК,2023,53.03.04,Сольное народное пение,479
РГК,2024,53.03.04,Сольное народное пение,423
РГК,2021,53.03.05,Дирижирование оркестром народных инструментов,465
РГК,2022,53.03.05,Дирижирование оркестром народных инструментов,434
РГК,2023,53.03.05,Дирижирование оркестром народных инструментов,396
РГК,2024,53.03.05,Дирижирование оркестром народных инструментов,461
РГК,2021,53.03.05,Дирижирование оркестром духовых инструментов,458
РГК,2022,53.03.05,Дирижирование оркестром духовых инструментов,408
РГК,2023,53.03.05,Дирижирование оркестром духовых инструментов,467
РГК,2024,53.03.05,Дирижирование оркестром духовых инструментов,410
РГК,2021,53.03.06,Музыкальная журналистика и редакторская деятельность в СМИ,406
РГК,2022,53.03.06,Музыкальная журналистика и редакторская деятельность в СМИ,430
РГК,2023,53.03.06,Музыкальная журналистика и редакторская деятельность в СМИ,423
РГК,2024,53.03.06,Музыкальная журналистика и редакторская деятельность в СМИ,436
РГК,2021,53.03.06,Компьютерная музыка и аранжировка,375
РГК,2022,53.03.06,Компьютерная музыка и аранжировка,346
РГК,2023,53.03.06,Компьютерная музыка и аранжировка,441
РГК,2024,53.03.06,Компьютерная музыка и аранжировка,388
РГК,2021,53.05.01,Фортепиано,431
РГК,2022,53.05.01,Фортепиано,412
РГК,2023,53.05.01,Фортепиано,405
РГК,2024,53.05.01,Фортепиано,440
РГК,2021,53.05.02,Художественное руководство академическим хором,482
РГК,2022,53.05.02,Художественное руководство академическим хором,465
РГК,2023,53.05.02,Художественное руководство академическим хором,397
РГК,2024,53.05.02,Художественное руководство академическим хором,432
РГК,2021,53.05.05,Музыковедение,388
РГК,2022,53.05.05,Музыковедение,364
РГК,2023,53.05.05,Музыковедение,397
РГК,2024,53.05.05,Музыковедение,426
РГК,2021,53.05.06,Композиция,371
РГК,2022,53.05.06,Композиция,356
РГК,2023,53.05.06,Композиция,413
РГК,2024,53.05.06,Композиция,404
РГК,2021,53.05.04,Искусство оперного пения,416
РГК,2022,53.05.04,Искусство оперного пения,399
РГК,2023,53.05.04,Искусство оперного пения,492
РГК,2024,53.05.04,Искусство оперного пения,432
РГК,2021,53.03.02,Оркестровые струнные инструменты,415
РГК,2022,53.03.02,Оркестровые струнные инструменты,313
РГК,2023,53.03.02,Оркестровые струнные инструменты,310
РГК,2024,53.03.02,Оркестровые струнные инструменты,364
РГК,2021,53.03.02,Оркестровые духовые и ударные инструменты,379
РГК,2022,53.03.02,Оркестровые духовые и ударные инструменты,403
РГК,2023,53.03.02,Оркестровые духовые и ударные инструменты,337
РГК,2024,53.03.02,Оркестровые духовые и ударные инструменты,352
РГК,2021,53.05.01,Концертные струнные инструменты,433
РГК,2022,53.05.01,Концертные струнные инструменты,502
РГК,2023,53.05.01,Концертные струнные инструменты,487
РГК,2024,53.05.01,Концертные струнные инструменты,444
РГК,2021,53.05.01,Концертные духовые и ударные инструменты,465
РГК,2022,53.05.01,Концертные духовые и ударные инструменты,431
РГК,2023,53.05.01,Концертные духовые и ударные инструменты,457
РГК,2024,53.05.01,Концертные духовые и ударные инструменты,451
РГК,2021,53.05.01,Концертные народные инструменты,475
РГК,2022,53.05.01,Концертные народные инструменты,388
РГК,2023,53.05.01,Концертные народные инструменты,398
РГК,2024,53.05.01,Концертные народные инструменты,453
РГК,2021,53.05.02,Художественное руководство оперно-симфоническим оркестром,467
РГК,2022,53.05.02,Художественное руководство оперно-симфоническим оркестром,364
РГК,2023,53.05.02,Художественное руководство оперно-симфоническим оркестром,362
РГК,2024,53.05.02,Художественное руководство оперно-симфоническим оркестром,424
