Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
РГУПС,2021,20.03.01,Управление транспортной безопасностью и охраной труда,162
РГУПС,2022,20.03.01,Управление транспортной безопасностью и охраной труда,170
РГУПС,2023,20.03.01,Управление транспортной безопасностью и охраной труда,176
РГУПС,2024,20.03.01,Управление транспортной безопасностью и охраной труда,167
РГУПС,2021,08.03.01,Промышленное и гражданское строительство,146
РГУПС,2022,08.03.01,Промышленное и гражданское строительство,183
РГУПС,2023,08.03.01,Промышленное и гражданское строительство,163
РГУПС,2024,08.03.01,Промышленное и гражданское строительство,170
РГУПС,2021,23.05.01,Автомобильная техника в транспортных технологиях,167
РГУПС,2022,23.05.01,Автомобильная техника в транспортных технологиях,170
РГУПС,2023,23.05.01,Автомобильная техника в транспортных технологиях,171
РГУПС,2024,23.05.01,Автомобильная техника в транспортных технологиях,152
РГУПС,2021,09.03.01,Системное программирование и технологии искусственного интеллекта,230
РГУПС,2022,09.03.01,Системное программирование и технологии искусственного интеллекта,191
РГУПС,2023,09.03.01,Системное программирование и технологии искусственного интеллекта,211
РГУПС,2024,09.03.01,Системное программирование и технологии искусственного интеллекта,209
РГУПС,2021,23.05.01,"Подъёмно-транспортные, строительные, дорожные средства и оборудование",156
РГУПС,2022,23.05.01,"Подъёмно-транспортные, строительные, дорожные средства и оборудование",170
РГУПС,2023,23.05.01,"Подъёмно-транспортные, строительные, дорожные средства и оборудование",135
РГУПС,2024,23.05.01,"Подъёмно-транспортные, строительные, дорожные средства и оборудование",152
РГУПС,2021,13.03.01,Промышленная теплоэнергетика,167
РГУПС,2022,13.03.01,Промышленная теплоэнергетика,130
РГУПС,2023,13.03.01,Промышленная теплоэнергетика,144
РГУПС,2024,13.03.01,Промышленная теплоэнергетика,145
РГУПС,2021,09.03.02,Программирование и Интернет-технологии,219
РГУПС,2022,09.03.02,Программирование и Интернет-технологии,244
РГУПС,2023,09.03.02,Программирование и Интернет-технологии,245
РГУПС,2024,09.03.02,Программирование и Интернет-технологии,216
РГУПС,2021,13.03.02,Электромеханика,147
РГУПС,2022,13.03.02,Электромеханика,183
РГУПС,2023,13.03.02,Электромеханика,162
РГУПС,2024,13.03.02,Электромеханика,168
РГУПС,2021,23.05.03,Высокоскоростной наземный транспорт,119
РГУПС,2022,23.05.03,Высокоскоростной наземный транспорт,106
РГУПС,2023,23.05.03,Высокоскоростной наземный транспорт,119
РГУПС,2024,23.05.03,Высокоскоростной наземный транспорт,117
РГУПС,2021,23.05.03,Локомотивы,102
РГУПС,2022,23.05.03,Локомотивы,127
РГУПС,2023,23.05.03,Локомотивы,111
РГУПС,2024,23.05.03,Локомотивы,117
РГУПС,2021,23.05.03,Электрический транспорт железных дорог,104
РГУПС,2022,23.05.03,Электрический транспорт железных дорог,109
РГУПС,2023,23.05.03,Электрический транспорт железных дорог,118
РГУПС,2024,23.05.03,Электрический транспорт железных дорог,117
РГУПС,2021,23.05.04,Грузовая и коммерческая работа,125
РГУПС,2022,23.05.04,Грузовая и коммерческая работа,128
РГУПС,2023,23.05.04,Грузовая и коммерческая работа,125
РГУПС,2024,23.05.04,Грузовая и коммерческая работа,115
РГУПС,2021,23.05.04,Магистральный транспорт,110
РГУПС,2022,23.05.04,Магистральный транспорт,109
РГУПС,2023,23.05.04,Магистральный транспорт,127
РГУПС,2024,23.05.04,Магистральный транспорт,115
РГУПС,2021,23.05.04,Пассажирский комплекс железнодорожного транспорта,130
РГУПС,2022,23.05.04,Пассажирский комплекс железнодорожного транспорта,98
РГУПС,2023,23.05.04,Пассажирский комплекс железнодорожного транспорта,103
РГУПС,2024,23.05.04,Пассажирский комплекс железнодорожного транспорта,115
РГУПС,2021,23.05.04,Транспортный бизнес и логистика,100
РГУПС,2022,23.05.04,Транспортный бизнес и логистика,98
