Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
РГЭУ (РИНХ),2021,38.03.01,Международный бизнес,214
РГЭУ (РИНХ),2022,38.03.01,Международный бизнес,212
РГЭУ (РИНХ),2023,38.03.01,Международный бизнес,262
РГЭУ (РИНХ),2024,38.03.01,Международный бизнес,241
РГЭУ (РИНХ),2021,10.03.01,Организация и технология защиты информации,156
РГЭУ (РИНХ),2022,10.03.01,Организация и технология защиты информации,153
РГЭУ (РИНХ),2023,10.03.01,Организация и технология защиты информации,155
РГЭУ (РИНХ),2024,10.03.01,Организация и технология защиты информации,152
РГЭУ (РИНХ),2021,38.03.01,Мировая экономика,271
РГЭУ (РИНХ),2022,38.03.01,Мировая экономика,228
РГЭУ (РИНХ),2023,38.03.01,Мировая экономика,249
РГЭУ (РИНХ),2024,38.03.01,Мировая экономика,241
РГЭУ (РИНХ),2021,38.03.01,Экономика предприятий и организаций,268
РГЭУ (РИНХ),2022,38.03.01,Экономика предприятий и организаций,205
РГЭУ (РИНХ),2023,38.03.01,Экономика предприятий и организаций,230
РГЭУ (РИНХ),2024,38.03.01,Экономика предприятий и организаций,241
РГЭУ (РИНХ),2021,38.03.01,"Бухгалтерский учет, анализ и аудит",248
РГЭУ (РИНХ),2022,38.03.01,"Бухгалтерский учет, анализ и аудит",236
РГЭУ (РИНХ),2023,38.03.01,"Бухгалтерский учет, анализ и аудит",270
РГЭУ (РИНХ),2024,38.03.01,"Бухгалтерский учет, анализ и аудит",241
РГЭУ (РИНХ),2021,38.03.01,Финансы и кредит,264
РГЭУ (РИНХ),2022,38.03.01,Финансы и кредит,211
РГЭУ (РИНХ),2023,38.03.01,Финансы и кредит,208
РГЭУ (РИНХ),2024,38.03.01,Финансы и кредит,241
РГЭУ (РИНХ),2021,38.03.01,Банковское дело и денежное обращение,240
РГЭУ (РИНХ),2022,38.03.01,Банковское дело и денежное обращение,211
РГЭУ (РИНХ),2023,38.03.01,Банковское дело и денежное обращение,253
РГЭУ (РИНХ),2024,38.03.01,Банковское дело и денежное обращение,241
РГЭУ (РИНХ),2021,38.03.01,Экономика города и региона,216
РГЭУ (РИНХ),2022,38.03.01,Экономика города и региона,209
РГЭУ (РИНХ),2023,38.03.01,Экономика города и региона,252
РГЭУ (РИНХ),2024,38.03.01,Экономика города и региона,241
РГЭУ (РИНХ),2021,38.03.01,Налоговое администрирование и консультирование в цифровой экономике,272
РГЭУ (РИНХ),2022,38.03.01,Налоговое администрирование и консультирование в цифровой экономике,212
РГЭУ (РИНХ),2023,38.03.01,Налоговое администрирование и консультирование в цифровой экономике,237
РГЭУ (РИНХ),2024,38.03.01,Налоговое администрирование и консультирование в цифровой экономике,241
РГЭУ (РИНХ),2021,38.03.01,Бизнес-анализ и прогнозирование в организациях,239
РГЭУ (РИНХ),2022,38.03.01,Бизнес-анализ и прогнозирование в организациях,205
РГЭУ (РИНХ),2023,38.03.01,Бизнес-анализ и прогнозирование в организациях,275
РГЭУ (РИНХ),2024,38.03.01,Бизнес-анализ и прогнозирование в организациях,241
РГЭУ (РИНХ),2021,09.03.04,Системное и прикладное программное обеспечение,155
РГЭУ (РИНХ),2022,09.03.04,Системное и прикладное программное обеспечение,171
РГЭУ (РИНХ),2023,09.03.04,Системное и прикладное программное обеспечение,189
РГЭУ (РИНХ),2024,09.03.04,Системное и прикладное программное обеспечение,173
РГЭУ (РИНХ),2021,09.03.02,Информационные системы и технологии в бизнесе,213
РГЭУ (РИНХ),2022,09.03.02,Информационные системы и технологии в бизнесе,199
РГЭУ (РИНХ),2023,09.03.02,Информационные системы и технологии в бизнесе,206
РГЭУ (РИНХ),2024,09.03.02,Информационные системы и технологии в бизнесе,195
РГЭУ (РИНХ),2021,09.03.03,Разработка и управление программными проектами в цифровой экономике,225
РГЭУ (РИНХ),2022,09.03.03,Разработка и управление программными проектами в цифровой экономике,226
РГЭУ (РИНХ),2023,09.03.03,Разработка и управление программными проектами в цифровой экономике,233
РГЭУ (РИНХ),2024,09.03.03,Разработка и управление программными проектами в цифровой экономике,203
РГЭУ (РИНХ),2021,38.03.01,Финансовая разведка в цифровой экономике,205
РГЭУ (РИНХ),2022,38.03.01,Финансовая разведка в цифровой экономике,221
РГЭУ (РИНХ),2023,38.03.01,Финансовая разведка в цифровой экономике,227
РГЭУ (РИНХ),2024,38.03.01,Финансовая разведка в цифровой экономике,241
РГЭУ (РИНХ),2021,38.03.01,Учет и контроль в управлении бизнесом,246
РГЭУ (РИНХ),2022,38.03.01,Учет и контроль в управлении бизнесом,270
РГЭУ (РИНХ),2023,38.03.01,Учет и контроль в управлении бизнесом,270
РГЭУ (РИНХ),2024,38.03.01,Учет и контроль в управлении бизнесом,241
РГЭУ (РИНХ),2021,38.03.01,Финансовая безопасность и финансовые рынки в цифровой экономике,259
РГЭУ (РИНХ),2022,38.03.01,Финансовая безопасность и финансовые рынки в цифровой экономике,213
РГЭУ (РИНХ),2023,38.03.01,Финансовая безопасность и финансовые рынки в цифровой экономике,248
РГЭУ (РИНХ),2024,38.03.01,Финансовая безопасность и финансовые рынки в цифровой экономике,241
РГЭУ (РИНХ),2021,38.03.01,Бизнес-консалтинг и финансовый контроль,214
РГЭУ (РИНХ),2022,38.03.01,Бизнес-консалтинг и финансовый контроль,249
РГЭУ (РИНХ),2023,38.03.01,Бизнес-консалтинг и финансовый контроль,254
РГЭУ (РИНХ),2024,38.03.01,Бизнес-консалтинг и финансовый контроль,241
РГЭУ (РИНХ),2021,01.03.02,Математическое и программное обеспечение систем искусственного интеллекта,147
РГЭУ (РИНХ),2022,01.03.02,Математическое и программное обеспечение систем искусственного интеллекта,156
РГЭУ (РИНХ),2023,01.03.02,Математическое и программное обеспечение систем искусственного интеллекта,171
РГЭУ (РИНХ),2024,01.03.02,Математическое и программное обеспечение систем искусственного интеллекта,171
РГЭУ (РИНХ),2021,38.03.01,Учетно-экономическое и правовое сопровождение бизнеса,276
РГЭУ (РИНХ),2022,38.03.01,Учетно-экономическое и правовое сопровождение бизнеса,248
РГЭУ (РИНХ),2023,38.03.01,Учетно-экономическое и правовое сопровождение бизнеса,235
РГЭУ (РИНХ),2024,38.03.01,Учетно-экономическое и правовое сопровождение бизнеса,241
РГЭУ (РИНХ),2021,38.03.01,Экономист-аналитик,240
РГЭУ (РИНХ),2022,38.03.01,Экономист-аналитик,222
РГЭУ (РИНХ),2023,38.03.01,Экономист-аналитик,213
РГЭУ (РИНХ),2024,38.03.01,Экономист-аналитик,241
РГЭУ (РИНХ),2021,38.03.01,Налоги и бизнес в цифровой экономике,238
РГЭУ (РИНХ),2022,38.03.01,Налоги и бизнес в цифровой экономике,260
РГЭУ (РИНХ),2023,38.03.01,Налоги и бизнес в цифровой экономике,209
РГЭУ (РИНХ),2024,38.03.01,Налоги и бизнес в цифровой экономике,241
