Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
РостГМУ,2021,31.05.01,Лечебное дело,256
РостГМУ,2022,31.05.01,Лечебное дело,266
РостГМУ,2023,31.05.01,Лечебное дело,237
РостГМУ,2024,31.05.01,Лечебное дело,263
РостГМУ,2021,33.05.01,Фармация,160
РостГМУ,2022,33.05.01,Фармация,144
РостГМУ,2023,33.05.01,Фармация,122
РостГМУ,2024,33.05.01,Фармация,141
РостГМУ,2021,37.05.01,Клиническая психология,255
РостГМУ,2022,37.05.01,Клиническая психология,221
РостГМУ,2023,37.05.01,Клиническая психология,269
РостГМУ,2024,37.05.01,Клиническая психология,239
РостГМУ,2021,31.05.02,Педиатрия,275
РостГМУ,2022,31.05.02,Педиатрия,272
РостГМУ,2023,31.05.02,Педиатрия,224
РостГМУ,2024,31.05.02,Педиатрия,254
РостГМУ,2021,31.05.03,Стоматология,284
РостГМУ,2022,31.05.03,Стоматология,290
РостГМУ,2023,31.05.03,Стоматология,277
РостГМУ,2024,31.05.03,Стоматология,289
РостГМУ,2021,34.03.01,Сестринское дело,122
РостГМУ,2022,34.03.01,Сестринское дело,118
РостГМУ,2023,34.03.01,Сестринское дело,128
РостГМУ,2024,34.03.01,Сестринское дело,122
РостГМУ,2021,32.05.01,Медико-профилактическое дело,136
РостГМУ,2022,32.05.01,Медико-профилактическое дело,110
РостГМУ,2023,32.05.01,Медико-профилактическое дело,114
РостГМУ,2024,32.05.01,Медико-профилактическое дело,123
