Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
СКФ МТУСИ,2021,11.03.02,Защищенные инфокоммуникационные системы,158
СКФ МТУСИ,2022,11.03.02,Защищенные инфокоммуникационные системы,159
СКФ МТУСИ,2023,11.03.02,Защищенные инфокоммуникационные системы,191
СКФ МТУСИ,2024,11.03.02,Защищенные инфокоммуникационные системы,169
СКФ МТУСИ,2021,11.03.02,Инфокоммуникационные системы и сети,153
СКФ МТУСИ,2022,11.03.02,Инфокоммуникационные системы и сети,173
СКФ МТУСИ,2023,11.03.02,Инфокоммуникационные системы и сети,170
СКФ МТУСИ,2024,11.03.02,Инфокоммуникационные системы и сети,169
СКФ МТУСИ,2021,09.03.01,Искусственный интеллект и машинное обучение,214
СКФ МТУСИ,2022,09.03.01,Искусственный интеллект и машинное обучение,209
СКФ МТУСИ,2023,09.03.01,Искусственный интеллект и машинное обучение,167
СКФ МТУСИ,2024,09.03.01,Искусственный интеллект и машинное обучение,194
