Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
Филиал РТА в Ростове,2021,38.03.01,Мировая экономика,205
Филиал РТА в Ростове,2022,38.03.01,Мировая экономика,226
Филиал РТА в Ростове,2023,38.03.01,Мировая экономика,216
Филиал РТА в Ростове,2024,38.03.01,Мировая экономика,222
Филиал РТА в Ростове,2021,38.03.01,Экономика предприятий и организаций (таможня),233
Филиал РТА в Ростове,2022,38.03.01,Экономика предприятий и организаций (таможня),226
Филиал РТА в Ростове,2023,38.03.01,Экономика предприятий и организаций (таможня),190
Филиал РТА в Ростове,2024,38.03.01,Экономика предприятий и организаций (таможня),222
Филиал РТА в Ростове,2021,40.03.01,Гражданско-правовой профиль,196
Филиал РТА в Ростове,2022,40.03.01,Гражданско-правовой профиль,202
Филиал РТА в Ростове,2023,40.03.01,Гражданско-правовой профиль,244
Филиал РТА в Ростове,2024,40.03.01,Гражданско-правовой профиль,227
Филиал РТА в Ростове,2021,40.03.01,Уголовно-правовой профиль,255
Филиал РТА в Ростове,2022,40.03.01,Уголовно-правовой профиль,219
Филиал РТА в Ростове,2023,40.03.01,Уголовно-правовой профиль,214
Филиал РТА в Ростове,2024,40.03.01,Уголовно-правовой профиль,227
Филиал РТА в Ростове,2021,40.03.01,Государственно-правовой профиль,221
Филиал РТА в Ростове,2022,40.03.01,Государственно-правовой профиль,234
Филиал РТА в Ростове,2023,40.03.01,Государственно-правовой профиль,261
Филиал РТА в Ростове,2024,40.03.01,Государственно-правовой профиль,227
Филиал РТА в Ростове,2021,38.05.02,Товароведение и экспертиза в таможенном деле,192
Филиал РТА в Ростове,2022,38.05.02,Товароведение и экспертиза в таможенном деле,216
Филиал РТА в Ростове,2023,38.05.02,Товароведение и экспертиза в таможенном деле,183
Филиал РТА в Ростове,2024,38.05.02,Товароведение и экспертиза в таможенном деле,208
Филиал РТА в Ростове,2021,38.05.02,Организация таможенного контроля,213
Филиал РТА в Ростове,2022,38.05.02,Организация таможенного контроля,198
Филиал РТА в Ростове,2023,38.05.02,Организация таможенного контроля,216
Филиал РТА в Ростове,2024,38.05.02,Организация таможенного контроля,208
Филиал РТА в Ростове,2021,38.05.02,Таможенные платежи,212
Филиал РТА в Ростове,2022,38.05.02,Таможенные платежи,214
Филиал РТА в Ростове,2023,38.05.02,Таможенные платежи,186
Филиал РТА в Ростове,2024,38.05.02,Таможенные платежи,208
Филиал РТА в Ростове,2021,38.05.02,Информационные системы и таможенные технологии,222
Филиал РТА в Ростове,2022,38.05.02,Информационные системы и таможенные технологии,230
Филиал РТА в Ростове,2023,38.05.02,Информационные системы и таможенные технологии,192
Филиал РТА в Ростове,2024,38.05.02,Информационные системы и таможенные технологии,208
Филиал РТА в Ростове,2021,09.03.03,Прикладная информатика в государственных информационных системах,134
Филиал РТА в Ростове,2022,09.03.03,Прикладная информатика в государственных информационных системах,131
Филиал РТА в Ростове,2023,09.03.03,Прикладная информатика в государственных информационных системах,145
Филиал РТА в Ростове,2024,09.03.03,Прикладная информатика в государственных информационных системах,131
