Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
ЮРГПУ,2021,09.03.02,Информационные системы и технологии,197
ЮРГПУ,2022,09.03.02,Информационные системы и технологии,204
ЮРГПУ,2023,09.03.02,Информационные системы и технологии,161
ЮРГПУ,2024,09.03.02,Информационные системы и технологии,184
ЮРГПУ,2021,15.03.06,Мехатроника,167
ЮРГПУ,2022,15.03.06,Мехатроника,166
ЮРГПУ,2023,15.03.06,Мехатроника,137
ЮРГПУ,2024,15.03.06,Мехатроника,155
ЮРГПУ,2021,13.03.01,Тепловые электрические станции,122
ЮРГПУ,2022,13.03.01,Тепловые электрические станции,125
ЮРГПУ,2023,13.03.01,Тепловые электрические станции,135
ЮРГПУ,2024,13.03.01,Тепловые электрические станции,129
ЮРГПУ,2021,09.03.03,Прикладная информатика,169
ЮРГПУ,2022,09.03.03,Прикладная информатика,209
ЮРГПУ,2023,09.03.03,Прикладная информатика,192
ЮРГПУ,2024,09.03.03,Прикладная информатика,184
ЮРГПУ,2021,09.03.04,Разработка программно-информационных систем,177
ЮРГПУ,2022,09.03.04,Разработка программно-информационных систем,161
ЮРГПУ,2023,09.03.04,Разработка программно-информационных систем,160
ЮРГПУ,2024,09.03.04,Разработка программно-информационных систем,185
ЮРГПУ,2021,15.03.05,Технология машиностроения,123
ЮРГПУ,2022,15.03.05,Технология машиностроения,131
ЮРГПУ,2023,15.03.05,Технология машиностроения,111
ЮРГПУ,2024,15.03.05,Технология машиностроения,124
ЮРГПУ,2021,02.03.03,Администрирование информационных систем,168
ЮРГПУ,2022,02.03.03,Администрирование информационных систем,174
ЮРГПУ,2023,02.03.03,Администрирование информационных систем,168
ЮРГПУ,2024,02.03.03,Администрирование информационных систем,169
ЮРГПУ,2021,21.03.01,Бурение нефтяных и газовых скважин,204
ЮРГПУ,2022,21.03.01,Бурение нефтяных и газовых скважин,179
ЮРГПУ,2023,21.03.01,Бурение нефтяных и газовых скважин,171
ЮРГПУ,2024,21.03.01,Бурение нефтяных и газовых скважин,178
ЮРГПУ,2021,23.05.01,Автомобили и тракторы,115
ЮРГПУ,2022,23.05.01,Автомобили и тракторы,129
ЮРГПУ,2023,23.05.01,Автомобили и тракторы,140
ЮРГПУ,2024,23.05.01,Автомобили и тракторы,134
ЮРГПУ,2021,21.05.02,Геология месторождений нефти и газа,147
ЮРГПУ,2022,21.05.02,Геология месторождений нефти и газа,138
ЮРГПУ,2023,21.05.02,Геология месторождений нефти и газа,151
ЮРГПУ,2024,21.05.02,Геология месторождений нефти и газа,147
ЮРГПУ,2021,01.03.04,Компьютерное моделирование социально-экономических процессов и технических систем,153
ЮРГПУ,2022,01.03.04,Компьютерное моделирование социально-экономических процессов и технических систем,161
ЮРГПУ,2023,01.03.04,Компьютерное моделирование социально-экономических процессов и технических систем,143
ЮРГПУ,2024,01.03.04,Компьютерное моделирование социально-экономических процессов и технических систем,146
ЮРГПУ,2021,15.03.02,Машины и оборудование нефтяных и газовых промыслов,133
ЮРГПУ,2022,15.03.02,Машины и оборудование нефтяных и газовых промыслов,118
ЮРГПУ,2023,15.03.02,Машины и оборудование нефтяных и газовых промыслов,124
ЮРГПУ,2024,15.03.02,Машины и оборудование нефтяных и газовых промыслов,136
ЮРГПУ,2021,27.03.04,"Управление и информационные технологии в технических,организационных и социально-экономиче..",139
ЮРГПУ,2022,27.03.04,"Управление и информационные технологии в технических,организационных и социально-экономиче..",121
ЮРГПУ,2023,27.03.04,"Управление и информационные технологии в технических,организационных и социально-экономиче..",144
ЮРГПУ,2024,27.03.04,"Управление и информационные технологии в технических,организационных и социально-экономиче..",138
ЮРГПУ,2021,08.03.01,Промышленное и гражданское строительство,134
ЮРГПУ,2022,08.03.01,Промышленное и гражданское строительство,145
ЮРГПУ,2023,08.03.01,Промышленное и гражданское строительство,149
ЮРГПУ,2024,08.03.01,Промышленное и гражданское строительство,137
ЮРГПУ,2021,21.05.02,"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",144
ЮРГПУ,2022,21.05.02,"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",160
ЮРГПУ,2023,21.05.02,"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",135
ЮРГПУ,2024,21.05.02,"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",147
ЮРГПУ,2021,21.05.04,Маркшейдерское дело и геодезия,142
ЮРГПУ,2022,21.05.04,Маркшейдерское дело и геодезия,146
ЮРГПУ,2023,21.05.04,Маркшейдерское дело и геодезия,137
ЮРГПУ,2024,21.05.04,Маркшейдерское дело и геодезия,142
ЮРГПУ,2021,21.05.04,Открытая и подземная разработка месторождений полезных ископаемых,133
ЮРГПУ,2022,21.05.04,Открытая и подземная разработка месторождений полезных ископаемых,155
ЮРГПУ,2023,21.05.04,Открытая и подземная разработка месторождений полезных ископаемых,131
ЮРГПУ,2024,21.05.04,Открытая и подземная разработка месторождений полезных ископаемых,142
ЮРГПУ,2021,11.03.02,Инфокоммуникационные технологии в сервисах и услугах связи,129
ЮРГПУ,2022,11.03.02,Инфокоммуникационные технологии в сервисах и услугах связи,166
ЮРГПУ,2023,11.03.02,Инфокоммуникационные технологии в сервисах и услугах связи,128
ЮРГПУ,2024,11.03.02,Инфокоммуникационные технологии в сервисах и услугах связи,145
ЮРГПУ,2021,09.03.01,Программное обеспечение вычислительной техники и автоматизированных систем,215
ЮРГПУ,2022,09.03.01,Программное обеспечение вычислительной техники и автоматизированных систем,199
ЮРГПУ,2023,09.03.01,Программное обеспечение вычислительной техники и автоматизированных систем,174
ЮРГПУ,2024,09.03.01,Программное обеспечение вычислительной техники и автоматизированных систем,191
ЮРГПУ,2021,23.05.01,"Подъемно-транспортные, строительные, дорожные средства и оборудование",127
ЮРГПУ,2022,23.05.01,"Подъемно-транспортные, строительные, дорожные средства и оборудование",122
ЮРГПУ,2023,23.05.01,"Подъемно-транспортные, строительные, дорожные средства и оборудование",132
ЮРГПУ,2024,23.05.01,"Подъемно-транспортные, строительные, дорожные средства и оборудование",134
ЮРГПУ,2021,15.03.02,Машины и аппараты пищевых производств,142
ЮРГПУ,2022,15.03.02,Машины и аппараты пищевых производств,117
ЮРГПУ,2023,15.03.02,Машины и аппараты пищевых производств,131
ЮРГПУ,2024,15.03.02,Машины и аппараты пищевых производств,136
ЮРГПУ,2021,08.05.01,Строительство высотных и большепролетных зданий и сооружений,149
ЮРГПУ,2022,08.05.01,Строительство высотных и большепролетных зданий и сооружений,182
ЮРГПУ,2023,08.05.01,Строительство высотных и большепролетных зданий и сооружений,165
ЮРГПУ,2024,08.05.01,Строительство высотных и большепролетных зданий и сооружений,166
ЮРГПУ,2021,11.03.04,Нанотехнология в электронике,141
ЮРГПУ,2022,11.03.04,Нанотехнология в электронике,171
ЮРГПУ,2023,11.03.04,Нанотехнология в электронике,135
ЮРГПУ,2024,11.03.04,Нанотехнология в электронике,151
ЮРГПУ,2021,18.03.01,Технология электрохимических производств,132
ЮРГПУ,2022,18.03.01,Технология электрохимических производств,174
ЮРГПУ,2023,18.03.01,Технология электрохимических производств,140
ЮРГПУ,2024,18.03.01,Технология электрохимических производств,155
ЮРГПУ,2021,18.03.01,Химическая технология тугоплавких неметаллических и силикатных материалов,154
ЮРГПУ,2022,18.03.01,Химическая технология тугоплавких неметаллических и силикатных материалов,162
ЮРГПУ,2023,18.03.01,Химическая технология тугоплавких неметаллических и силикатных материалов,174
ЮРГПУ,2024,18.03.01,Химическая технология тугоплавких неметаллических и силикатных материалов,155
ЮРГПУ,2021,39.03.03,Управление социальным развитием молодежи,183
ЮРГПУ,2022,39.03.03,Управление социальным развитием молодежи,156
ЮРГПУ,2023,39.03.03,Управление социальным развитием молодежи,147
ЮРГПУ,2024,39.03.03,Управление социальным развитием молодежи,161
ЮРГПУ,2021,18.03.01,Технология и переработка полимеров,175
ЮРГПУ,2022,18.03.01,Технология и переработка полимеров,176
ЮРГПУ,2023,18.03.01,Технология и переработка полимеров,161
ЮРГПУ,2024,18.03.01,Технология и переработка полимеров,155
