Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
ЮФУ,2021,02.03.02,Фундаментальная информатика и информационные технологии,236
ЮФУ,2022,02.03.02,Фундаментальная информатика и информационные технологии,241
ЮФУ,2023,02.03.02,Фундаментальная информатика и информационные технологии,247
ЮФУ,2024,02.03.02,Фундаментальная информатика и информационные технологии,238
ЮФУ,2021,03.03.02,Физика,196
ЮФУ,2022,03.03.02,Физика,185
ЮФУ,2023,03.03.02,Физика,173
ЮФУ,2024,03.03.02,Физика,190
ЮФУ,2021,06.03.01,Биология,158
ЮФУ,2022,06.03.01,Биология,146
ЮФУ,2023,06.03.01,Биология,166
ЮФУ,2024,06.03.01,Биология,145
ЮФУ,2021,05.03.06,Экология и природопользование,128
ЮФУ,2022,05.03.06,Экология и природопользование,130
ЮФУ,2023,05.03.06,Экология и природопользование,136
ЮФУ,2024,05.03.06,Экология и природопользование,147
ЮФУ,2021,06.05.01,Биоинженерия и биоинформатика,213
ЮФУ,2022,06.05.01,Биоинженерия и биоинформатика,231
ЮФУ,2023,06.05.01,Биоинженерия и биоинформатика,208
ЮФУ,2024,06.05.01,Биоинженерия и биоинформатика,202
ЮФУ,2021,43.03.02,Туризм,194
ЮФУ,2022,43.03.02,Туризм,218
ЮФУ,2023,43.03.02,Туризм,173
ЮФУ,2024,43.03.02,Туризм,201
ЮФУ,2021,19.03.01,Биотехнология,159
ЮФУ,2022,19.03.01,Биотехнология,141
ЮФУ,2023,19.03.01,Биотехнология,149
ЮФУ,2024,19.03.01,Биотехнология,149
ЮФУ,2021,46.03.01,История,186
ЮФУ,2022,46.03.01,История,228
ЮФУ,2023,46.03.01,История,225
ЮФУ,2024,46.03.01,История,217
ЮФУ,2021,47.03.03,Религиоведение,188
ЮФУ,2022,47.03.03,Религиоведение,162
ЮФУ,2023,47.03.03,Религиоведение,168
ЮФУ,2024,47.03.03,Религиоведение,188
ЮФУ,2021,05.03.04,Гидрометеорология,148
ЮФУ,2022,05.03.04,Гидрометеорология,169
