Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.01,Мировая экономика,228
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.01,Мировая экономика,241
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.01,Мировая экономика,275
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.01,Мировая экономика,242
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.02,Финансовый менеджмент,206
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.02,Финансовый менеджмент,214
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.02,Финансовый менеджмент,218
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.02,Финансовый менеджмент,238
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.02,Проектный менеджмент,268
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.02,Проектный менеджмент,252
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.02,Проектный менеджмент,240
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.02,Проектный менеджмент,238
Южно-Российский институт управления – филиал РАНХиГС,2021,38.05.01,Экономико-правовое обеспечение экономической безопасности,239
Южно-Российский институт управления – филиал РАНХиГС,2022,38.05.01,Экономико-правовое обеспечение экономической безопасности,269
Южно-Российский институт управления – филиал РАНХиГС,2023,38.05.01,Экономико-правовое обеспечение экономической безопасности,231
Южно-Российский институт управления – филиал РАНХиГС,2024,38.05.01,Экономико-правовое обеспечение экономической безопасности,236
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.04,Государственная и муниципальная служба,244
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.04,Государственная и муниципальная служба,217
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.04,Государственная и муниципальная служба,206
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.04,Государственная и муниципальная служба,226
Южно-Российский институт управления – филиал РАНХиГС,2021,41.03.04,Политическое управление и национальная безопасность,243
Южно-Российский институт управления – филиал РАНХиГС,2022,41.03.04,Политическое управление и национальная безопасность,248
Южно-Российский институт управления – филиал РАНХиГС,2023,41.03.04,Политическое управление и национальная безопасность,221
Южно-Российский институт управления – филиал РАНХиГС,2024,41.03.04,Политическое управление и национальная безопасность,235
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.01,"Налоговое консультирование: учет, анализ, аудит",215
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.01,"Налоговое консультирование: учет, анализ, аудит",269
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.01,"Налоговое консультирование: учет, анализ, аудит",224
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.01,"Налоговое консультирование: учет, анализ, аудит",242
Южно-Российский институт управления – филиал РАНХиГС,2021,38.03.04,Государственные и муниципальные финансы,236
Южно-Российский институт управления – филиал РАНХиГС,2022,38.03.04,Государственные и муниципальные финансы,232
Южно-Российский институт управления – филиал РАНХиГС,2023,38.03.04,Государственные и муниципальные финансы,245
Южно-Российский институт управления – филиал РАНХиГС,2024,38.03.04,Государственные и муниципальные финансы,226
Южно-Российский институт управления – филиал РАНХиГС,2021,38.05.01,Финансовая безопасность хозяйствующих субъектов,205
Южно-Российский институт управления – филиал РАНХиГС,2022,38.05.01,Финансовая безопасность хозяйствующих субъектов,271
Южно-Российский институт управления – филиал РАНХиГС,2023,38.05.01,Финансовая безопасность хозяйствующих субъектов,236
Южно-Российский институт управления – филиал РАНХиГС,2024,38.05.01,Финансовая безопасность хозяйствующих субъектов,236
